date,model,upsampling,threshold,params,recall,precision,accuracy,f1,f1_weighted_2,f1_weighted_3,f1_weighted_4,test_recall,test_precision,test_accuracy,test_f1,test_f1_weighted_2,test_f1_weighted_3,test_f1_weighted_4,"['Age', 'BusinessTravel', 'DailyRate', 'Department', 'DistanceFromHome', 'Education', 'EmployeeCount', 'EnvironmentSatisfaction', 'Gender', 'HourlyRate', 'JobInvolvement', 'JobRole', 'JobSatisfaction', 'MaritalStatus', 'MonthlyIncome', 'MonthlyRate', 'NumCompaniesWorked', 'Over18', 'OverTime', 'PercentSalaryHike', 'PerformanceRating', 'RelationshipSatisfaction', 'StandardHours', 'Shift', 'TotalWorkingYears', 'TrainingTimesLastYear', 'WorkLifeBalance', 'YearsAtCompany', 'YearsInCurrentRole', 'YearsSinceLastPromotion', 'YearsWithCurrManager']"
2024-04-18,LogisticRegression,oversample,0.7,"{'C': 1, 'penalty': 'l1', 'solver': 'saga', 'max_iter': 200, 'class_weight': 'balanced'}",0.8100084817642069,0.9095238095238096,0.864715860899067,0.8568864961866308,0.8281304197016998,0.8189692136180431,0.8152555990760268,0.7894736842105263,0.5660377358490566,0.9077380952380952,0.6593406593406593,0.7317073170731708,0.7594936708860759,0.7715582450832074,
2024-04-18,LogisticRegression,smote,0.1,"{'C': 1, 'penalty': 'l1', 'solver': 'saga', 'max_iter': 200, 'class_weight': 'balanced'}",0.98303647158609,0.8314203730272597,0.8918575063613231,0.9008938981733384,0.948445171849427,0.9654310703873386,0.9726034159344455,0.9210526315789472,0.3684210526315789,0.8125,0.5263157894736842,0.708502024291498,0.8009153318077803,0.8463726884779516,
2024-04-18,LogisticRegression,smote,0.3,"{'C': 1, 'penalty': 'l1', 'solver': 'saga', 'max_iter': 200, 'class_weight': 'balanced'}",0.9601357082273112,0.9085072231139648,0.931721798134012,0.9336082474226804,0.9493458570949346,0.9547102977144304,0.956936847339632,0.8157894736842105,0.5344827586206896,0.8988095238095238,0.6458333333333334,0.7380952380952381,0.775,0.7912912912912913,
2024-04-18,LogisticRegression,smote,0.5,"{'C': 1, 'penalty': 'l1', 'solver': 'saga', 'max_iter': 200, 'class_weight': 'balanced'}",0.927905004240882,0.9414802065404476,0.9351145038167938,0.9346433148227252,0.9305886355903368,0.9292448823579376,0.928692699490662,0.7631578947368421,0.6444444444444445,0.925595238095238,0.6987951807228916,0.7360406091370558,0.7493540051679586,0.7549770290964778,
2024-04-18,LogisticRegression,smote,0.7,"{'C': 1, 'penalty': 'l1', 'solver': 'saga', 'max_iter': 200, 'class_weight': 'balanced'}",0.8871925360474979,0.9685185185185186,0.9291772688719252,0.9260734838424082,0.9023464458247068,0.8947053288854674,0.8915964701163258,0.6578947368421053,0.7352941176470589,0.9345238095238096,0.6944444444444445,0.6720430107526882,0.6648936170212767,0.661993769470405,
2024-04-18,LogisticRegression,cgan,0.1,"{'C': 1, 'penalty': 'l1', 'solver': 'saga', 'max_iter': 200, 'class_weight': 'balanced'}",0.936335403726708,0.6971098265895954,0.8337904552934723,0.7992047713717695,0.8761987794245858,0.9052694790571988,0.917808219178082,0.8947368421052632,0.3541666666666667,0.8035714285714286,0.5074626865671642,0.685483870967742,0.7762557077625573,0.8210227272727273,
2024-04-18,LogisticRegression,cgan,0.3,"{'C': 1, 'penalty': 'l1', 'solver': 'saga', 'max_iter': 200, 'class_weight': 'balanced'}",0.8633540372670807,0.8488549618320611,0.8974218321448162,0.8560431100846805,0.8604147322810276,0.8618818787784839,0.862487453234784,0.8421052631578947,0.5517241379310345,0.9047619047619048,0.6666666666666666,0.7619047619047619,0.7999999999999998,0.8168168168168168,
2024-04-18,LogisticRegression,cgan,0.5,"{'C': 1, 'penalty': 'l1', 'solver': 'saga', 'max_iter': 200, 'class_weight': 'balanced'}",0.8307453416149069,0.9052453468697124,0.9094898518924848,0.8663967611336033,0.844647931796653,0.8376389541255675,0.8347865993575034,0.7631578947368421,0.6904761904761905,0.9345238095238096,0.725,0.7474226804123713,0.7552083333333334,0.7584615384615386,
2024-04-18,LogisticRegression,cgan,0.7,"{'C': 1, 'penalty': 'l1', 'solver': 'saga', 'max_iter': 200, 'class_weight': 'balanced'}",0.8043478260869565,0.9539594843462248,0.9171695008228196,0.8727885425442291,0.8303943571657582,0.8171635904716832,0.811837374389232,0.6052631578947368,0.8214285714285714,0.9404761904761904,0.6969696969696969,0.638888888888889,0.6216216216216216,0.6147798742138365,
2024-04-18,LogisticRegression,none,0.1,"{'C': 10, 'penalty': 'elasticnet', 'solver': 'saga', 'l1_ratio': 0.5, 'max_iter': 200, 'class_weight': None}",0.8944099378881988,0.4556962025316455,0.858955223880597,0.6037735849056604,0.7500000000000001,0.8158640226628896,0.8464730290456431,0.8947368421052632,0.4657534246575342,0.8720238095238095,0.6126126126126126,0.7555555555555554,0.8192771084337349,0.8487518355359764,
